продукт, 100 гр;калорийность;белки;жиры;углеводы;калий, мг;фосфор, мг;натрий, мг;магний, мг;;;
сом;115;17.2;5.1;0;240;210;50;20;;;
ставрида;114;18.5;4.5;0;350;260;70;40;;;
судак;84;18.4;1.1;0;280;230;35;25;;;
треска;69;16;0.6;0;340;210;55;30;;;
тунец;139;24.4;4.6;0;350;280;75;30;;;
хек;86;16.6;2.2;0;335;240;75;35;;;
щука;84;18.4;1.1;0;260;200;40;35;;;
язь;117;19;4.5;0;235;210;100;35;;;
мясо, субпродукты, птица;;;;;;;;;;;
баранина (тазобедренная часть);198;17;14.4;0;300;183;90;25;;;
говядина;218;18.6;16;0;326;188;65;22;;;
говяжья печень;127;17.9;3.7;5.3;277;314;104;18;;;
говяжий язык;173;16;12.1;2.2;255;224;100;19;;;
гусь;412;15.2;39;0;240;165;91;30;;;
индейка;144;21.6;5.6;0;224;183;112;25;;;
конина;133;21.4;4.6;0;360;221;53;24;;;
кролик;183;21.2;11;0;335;190;57;25;;;
курица;238;18.2;18.4;0;194;165;70;18;;;
курица (грудка);113;23.6;1.9;0;292;171;60;86;;;
печень свиная;109;18.8;3.8;4.7;271;347;81;21;;;
свинина нежирная(вырезка);142;19.4;7.1;0;345;220;41;26;;;
сердце свиное;118;17.3;4.4;1.3;294;169;56;19;;;
телятина (шея);93;20.5;1.2;0;345;206;108;24;;;
утка;135;18.3;6;1;271;203;74;19;;;
язык свиной;225;16.3;17.2;0;243;193;110;18;;;
молочные продукты;;;;;;;;;;;
брынза из коровьего молока м.д.ж. 40%;262;22.1;19.2;0.4;95;375;1200;24;;;
йогурт нат. 1.5% жирности;57;4.1;1.5;5.9;152;95;50;15;;;
кефир 3.2%;59;2.9;3.2;4;146;95;50;14;;;
кефир 2.5%;53;2.9;2.5;4;146;95;50;14;;;
молоко 3.2%;60;3;3.2;4.7;146;91;50;14;;;
молоко 2.5%;60;3;2.5;4.7;146;91;50;14;;;
молоко сгущеное с сахаром 8.5% жирности;328;7.2;8.5;55.5;365;219;130;34;;;
ряженка 2.5%;54;2.9;2.5;4.2;146;92;50;14;;;
сливки 10%;119;2.7;10;4.4;124;83;40;10;;;
сливки 20%;207;2.5;20;4;109;60;35;8;;;
сметана 20%;206;2.5;20;3.4;109;60;35;8;;;
сметана 15%;162;2.6;15;3.6;116;61;40;9;;;
сметана 10%;119;2.7;10;3.9;124;62;50;10;;;
сыр российский м.д.ж. 50%;364;23.2;29.5;0;88;500;810;35;;;
сыр голландский м.д.ж. 50%;375;23.7;30.4;0;95;580;1000;50;;;
сыр швейцарский м.д.ж. 50%;391;24.6;31.6;1.4;100;650;750;45;;;
сыр пошехонский м.д.ж. 45%;344;26;26.1;0;95;640;860;45;;;
творог жирный;169;18;9;3;112;220;41;23;;;
творог полужирный;145;21;5;3;112;220;41;23;;;
творог нежирный;110;22;0.6;3.3;112;220;41;23;;;
мучные изделия, крупы;;;;;;;;;;;
булгур;342;12.3;1.3;63.4;410;300;17;164;;;
гречневая крупа (ядрица);308;12.6;3.3;57.1;380;298;3;200;;;
гречневый продел;300;9.5;2.3;60.4;320;253;3;150;;;
кукурузная крупа;371;8.8;1.2;78;137;73;1;27;;;
кус-кус;376;12.8;0.6;72.4;166;170;10;44;;;
манная ;333;10.3;1;70.6;130;85;3;18;;;
мука пшеничная, высший сорт;334;10.8;1.3;69.9;122;86;3;16;;;
мука пшеничная, 1 сорт;329;11.1;1.5;67.8;176;115;4;44;;;
мука пшеничная, 2 сорт;324;11.7;1.8;63.7;251;184;6;73;;;
мука ржаная;305;6.9;1.4;66.3;200;129;1;25;;;
овсянка;342;12.3;6.1;59.5;362;349;35;116;;;
перловая крупа;315;9.3;1.1;66.9;172;323;10;40;;;
пшено;342;11.5;3.3;66.5;211;233;10;83;;;
рис;333;7;1;74;100;150;12;50;;;
саго (тапиока);358;0.2;0;87.8;11;7;1;1;;;
хлеб ржаной;259;8.5;3.3;42.5;166;125;603;40;;;
хлеб пшеничный;235;7.6;0.8;49.2;93;65;499;14;;;
хлеб кукурузный;418;7;12.2;63;113;489;817;24;;;
ячневая крупа;313;10;1.3;65.4;205;343;15;50;;;
орехи;;;;;;;;;;;
арахис;552;26.3;45.2;9.9;658;350;23;182;;;
грецкий орех;656;16.2;60.8;11.1;474;332;7;120;;;
кедровый орех;673;13.7;68.4;9.4;597;575;2;251;;;
лесной орех;653;13;62.6;9.3;445;310;3;160;;;
миндаль;609;18.6;53.7;13;748;473;10;234;;;
семя подсолнечника;601;20.7;52.9;10.5;647;530;160;317;;;
фисташки;560;20.2;45.3;16.6;1025;490;1;121;;;
фундук;651;15;61.5;9.4;717;299;3;172;;;
жиры, маргарин, масло, уксус, горчица;;;;;;;;;;;
горчица;143;9.9;5.3;12.7;222;213;1267;122;;;
жир топленый;896;0;99.6;0;1;2;1;1;;;
шпик свиной (без шкурки);816;1.4;92.8;0;14;13;21;0;;;
маргарин молочный;743;0.3;82;1;10;7;171;1;;;
майонез 19% безсолевой;231;0.3;19.2;16;10;0;110;0;;;
масло растительное;899;0;99.9;0;1;2;2;0;;;
масло сливочное 72.5%;661;0.8;72.5;1.3;30;30;15;0.5;;;
масло сливочное 82.5%;748;0.5;82.5;0.8;15;19;7;0;;;
масло оливковое;898;0;99.8;0;1;2;2;0;;;
уксус бальзамический;88;0.5;0;17;112;19;23;12;;;
сладкое, кондитерские ингредиенты;;;;;;;;;;;
варенье ягодное (малина);273;0.6;0.2;70.4;168;16;14;10;;;
варенье ягодное (клубника);285;0.3;0.1;74;135;10;13;7;;;
желатин;355;87.2;0.4;0.7;1;300;11;80;;;
зефир;326;0.8;0.1;79.8;46;12;27;6;;;
ирис полутвердый;408;3.3;7.6;81.5;159;105;60;18;;;
какао;289;24.3;15;10.2;1509;655;13;425;;;
карамель, леденцовая;384;0;0;95.8;2;6;1;6;;;
корица;247;4;1.2;27.5;431;64;10;60;;;
мармелад;321;0.1;0;79.4;4;1;91;2;;;
мед;328;0.8;0;80.3;36;18;10;3;;;
пастила;324;0.5;0;80;55;11;16;7;;;
сахар;399;0;0;99.8;3;0;1;0;;;
соль;0;0;0;0;9;75;38710;22;;;
шоколад горький 77.7%;539;6.2;35.4;48.2;363;170;8;133;;;
шоколад полугорький;549;4.5;35.4;52.5;312;205;3;97;;;
шоколад сладкий;550;3;34;57.6;193;82;2;62;;;
шоколад молочный;554;9.8;34.7;50.4;462;309;136;68;;;
